dPad OK 1 13
dPad OK 2 5
dPad OK 3 1
dPad OK 4 15
dPad OK 5 13
dPad OK 6 15
dPad OK 7 13
dPad OK 8 15
dPad OK 9 14
dPad OK 10 10
dPad OK 11 3
dPad OK 12 5
dPad OK 13 10
dPad OK 14 15
dPad OK 15 10
dPad OK 16 0
dPad OK 17 5
dPad Right 1 2
dPad Right 2 10
dPad Right 3 14
dPad Right 4 0
dPad Right 5 2
dPad Right 6 0
dPad Right 7 2
dPad Right 8 0
dPad Right 9 1
dPad Right 10 5
dPad Right 11 12
dPad Right 12 10
dPad Right 13 5
dPad Right 14 0
dPad Right 15 5
dPad Right 16 15
dPad Right 17 10
Wheel OK 1 14
Wheel OK 2 5
Wheel OK 3 12
Wheel OK 4 15
Wheel OK 5 15
Wheel OK 6 11
Wheel OK 7 14
Wheel OK 8 13
Wheel OK 9 13
Wheel OK 10 13
Wheel OK 11 5
Wheel OK 12 11
Wheel OK 13 14
Wheel OK 14 12
Wheel OK 15 15
Wheel OK 16 0
Wheel OK 17 5
Wheel Right 1 1
Wheel Right 2 10
Wheel Right 3 3
Wheel Right 4 0
Wheel Right 5 0
Wheel Right 6 4
Wheel Right 7 1
Wheel Right 8 2
Wheel Right 9 2
Wheel Right 10 2
Wheel Right 11 10
Wheel Right 12 4
Wheel Right 13 1
Wheel Right 14 3
Wheel Right 15 0
Wheel Right 16 15
Wheel Right 17 10
