dPad Down 1 25
dPad Down 2 4
dPad Down 3 0
dPad Down 4 11
dPad Down 5 8
dPad Down 6 12
dPad Down 7 13
dPad Down 8 15
dPad Down 9 9
dPad Down 10 12
dPad Down 11 21
dPad Down 12 68
dPad Down 13 18
dPad Down 14 18
dPad Down 15 1
dPad Down 16 14
dPad Left 1 19
dPad Left 2 14
dPad Left 3 0
dPad Left 4 10
dPad Left 5 10
dPad Left 6 12
dPad Left 7 14
dPad Left 8 8
dPad Left 9 12
dPad Left 10 9
dPad Left 11 16
dPad Left 12 27
dPad Left 13 14
dPad Left 14 11
dPad Left 15 0
dPad Left 16 22
dPad OK 1 22
dPad OK 2 14
dPad OK 3 0
dPad OK 4 20
dPad OK 5 7
dPad OK 6 7
dPad OK 7 11
dPad OK 8 9
dPad OK 9 0
dPad OK 10 0
dPad OK 11 15
dPad OK 12 14
dPad OK 13 16
dPad OK 14 7
dPad OK 15 0
dPad OK 16 20
dPad Right 1 0
dPad Right 2 1
dPad Right 3 40
dPad Right 4 2
dPad Right 5 7
dPad Right 6 8
dPad Right 7 3
dPad Right 8 0
dPad Right 9 18
dPad Right 10 12
dPad Right 11 6
dPad Right 12 11
dPad Right 13 2
dPad Right 14 8
dPad Right 15 40
dPad Right 16 6
dPad Up 1 2
dPad Up 2 1
dPad Up 3 0
dPad Up 4 6
dPad Up 5 1
dPad Up 6 3
dPad Up 7 4
dPad Up 8 6
dPad Up 9 0
dPad Up 10 1
dPad Up 11 5
dPad Up 12 2
dPad Up 13 4
dPad Up 14 2
dPad Up 15 1
dPad Up 16 1
Wheel Down 1 12
Wheel Down 2 10
Wheel Down 3 17
Wheel Down 4 10
Wheel Down 5 12
Wheel Down 6 22
Wheel Down 7 15
Wheel Down 8 27
Wheel Down 9 17
Wheel Down 10 15
Wheel Down 11 21
Wheel Down 12 17
Wheel Down 13 20
Wheel Down 14 6
Wheel Down 15 22
Wheel Down 16 11
Wheel Left 1 2
Wheel Left 2 1
Wheel Left 3 6
Wheel Left 4 6
Wheel Left 5 0
Wheel Left 6 2
Wheel Left 7 2
Wheel Left 8 4
Wheel Left 9 3
Wheel Left 10 7
Wheel Left 11 4
Wheel Left 12 2
Wheel Left 13 6
Wheel Left 14 7
Wheel Left 15 27
Wheel Left 16 4
Wheel OK 1 2
Wheel OK 2 1
Wheel OK 3 3
Wheel OK 4 3
Wheel OK 5 1
Wheel OK 6 3
Wheel OK 7 1
Wheel OK 8 6
Wheel OK 9 4
Wheel OK 10 4
Wheel OK 11 1
Wheel OK 12 2
Wheel OK 13 6
Wheel OK 14 0
Wheel OK 15 0
Wheel OK 16 3
Wheel Right 1 0
Wheel Right 2 0
Wheel Right 3 0
Wheel Right 4 0
Wheel Right 5 0
Wheel Right 6 1
Wheel Right 7 1
Wheel Right 8 0
Wheel Right 9 2
Wheel Right 10 0
Wheel Right 11 3
Wheel Right 12 0
Wheel Right 13 1
Wheel Right 14 8
Wheel Right 15 69
Wheel Right 16 2
Wheel Up 1 6
Wheel Up 2 5
Wheel Up 3 6
Wheel Up 4 4
Wheel Up 5 10
Wheel Up 6 17
Wheel Up 7 9
Wheel Up 8 25
Wheel Up 9 16
Wheel Up 10 10
Wheel Up 11 12
Wheel Up 12 11
Wheel Up 13 7
Wheel Up 14 1
Wheel Up 15 11
Wheel Up 16 14
